Hanzaban,English,Type,Category
flow,flow,verb,movement 
dafa,crawl,verb,movement
saja,stand,verb,movement 
wegox,walk,verb,movement
lun,run,noun,movement
odian,fall,verb,movement
otiao,jump,verb,movement
mandan,stay,noun,movement
landan,leave,verb,movement
biya,come,verb,movement
ji-pe,return,verb,movement
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
sho,speak,verb,language 
yuyan,language,noun,language 
zihar,character,noun,language
cikali,word,noun,language
xie,write,verb,language 
gusha,story,noun,language
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
cut,cut,adjective,agression
jang,fight,verb,agression
pao,explode,verb,agression
yao,bite,verb,agression 
atash,be on fire,verb,agression 
hit,hit,noun,agression 
guo,surpass,verb,aggression 
gunah,commit,verb,agression 
anjam,crime,noun,agression 
khab,damaged,verb,agression
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔
mean,feel,verb,feelings
fengan,be sad,adjective,feelings
tien,like,verb,feelings
ao,want,verb,feelings
saefuan,happy,adjective,feelings
khian,respect,noun,feelings
xiao,laugh,noun,feelings
haqu,have fun,adjective,feelings
haai,be in love,noun,feelings
khaan,be angry,adjective,feelings
fankhan,fear,noun,feelings
hail,hate,verb,feelings
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔ 
tinshe,hear/listen,verb,sensory
bui,smell,noun,sensory
khash,taste,noun,sensory
tamak,be concentrated,adjective,mind
bava,believe,verb,mind
dan,know,verb,mind
jide,remember,verb,mind
tasiang,imagine,verb,mind
fahmin,understand,verb,mind
enxuan,choose/decide,verb,mind
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔ 
nalig,adult,noun,people 
nali,parent,noun,people 
naong,sibling,noun,people 
zi-nae,child,noun,people
danae,friend,noun,people
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔ 
jan,beast,noun,nature
glub,fish,noun,nature
paki,bird,noun,nature
insect,insect,noun,nature
nab,plant,noun,nature
dakh,tree,noun,nature 
gol,flower,noun,nature 
stone,stone,noun,nature 
sky,sky,noun,nature 
space,space,noun,nature  
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔ 
gu-ghamah,home,noun,places
ghamah,house,noun,places
Prepositions
zu-khat,between,preposition,preposition
zu-neng,during,preposition,preposition
bou,before,preposition,preposition
tag,room,noun,preposition
sakan,building,noun,preposition
yuy,city/village,noun,preposition
yuyal,country,noun,preposition
⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔,⏔⏔⏔⏔ 
money,money,noun,inventions 
document,document,noun,inventions 
gadi,vehicle,noun,inventions 
hisab,computer,noun,inventions 
lelishuke,book,noun,inventions
chi,food,noun,inventions
